developer,success,total_reviews,average_playtime,review_score,num_games
Kiddy,73.0,134.5,29.4,0.5865181678852412,10
Nicolas Bernard,72.2,113.2,0.0,0.5638299665911607,5
Easy game,71.0,104.23076923076923,6.6923076923076925,0.6779426623560908,13
Invictus Games Ltd.,71.0,84.2,0.0,0.8206176756416852,5
MagicIndie,70.66666666666667,87.83333333333333,12.5,0.7581237095674785,6
Virtual Top,70.15384615384616,146.15384615384616,62.69230769230769,0.44646603004424446,13
Sunlight Games,69.0,219.6,313.2,0.5117254173824517,5
Sunward Games,68.3,82.5,22.4,0.834519366228589,10
Green Sauce Games,67.4,80.2,71.8,0.8776511131651319,5
Mihai Morosanu,66.42857142857143,111.64285714285714,186.71428571428572,0.546691223163232,14
MumboJumbo,65.13793103448276,85.13793103448276,7.103448275862069,0.720197644596908,29
Brandon Brizzi,64.8,86.8,0.0,0.6393487077844916,5
Windybeard,64.66666666666667,74.83333333333333,30.5,0.9126110355724961,6
Brave Giant LTD,63.07142857142857,91.57142857142857,51.57142857142857,0.6994801488800196,14
Riviysky,61.15384615384615,88.76923076923077,138.46153846153845,0.6633082736353344,13
RPG Video,60.4,134.8,216.2,0.43393857222250265,5
Sapphire Dragon Productions,60.28571428571429,79.42857142857143,113.64285714285714,0.7178864158455995,14
Mythical City Games,59.8,76.0,6.6,0.8196869543165178,5
BrainGoodGames,59.666666666666664,64.0,32.0,0.9215128720109744,6
Avalanche Software,59.4,93.6,23.2,0.6913974476084148,5
Winter Wolves,58.916666666666664,84.41666666666667,38.291666666666664,0.6751872296166899,24
"COLOPL, Inc.",58.0,66.2,0.0,0.8732308496101598,5
NewWestGames,57.6,93.4,71.4,0.671367189486576,5
Atomic Fabrik;Cristian Manolachi,57.57142857142857,149.0,63.57142857142857,0.41406646734826846,7
Mad Head Games,57.54545454545455,61.72727272727273,15.636363636363637,0.8698412698412699,11
Google Inc.,57.22222222222222,60.666666666666664,0.0,0.9261205378324332,9
Badim,56.285714285714285,77.42857142857143,246.85714285714286,0.6589909924087625,7
bumblebee,56.0,84.2,13.0,0.6568287911311577,5
Felip Guimerà,55.0,74.83333333333333,16.166666666666668,0.6960032781185858,6
Shaman Games Studio,53.72727272727273,74.9090909090909,0.0,0.6586392986160248,11
Ageod,52.57142857142857,80.71428571428571,10.142857142857142,0.6532722814839316,7
ThinkOfGames,52.5,65.66666666666667,185.66666666666666,0.7249100621193644,6
Grey Dog Software,52.166666666666664,83.5,0.0,0.6375108366531346,6
"Amaranth Games, LLC",51.8,68.0,0.0,0.7767082253206655,5
Hijong Park,51.4,55.2,0.0,0.933801156192503,5
Choice of Games,51.1063829787234,58.159574468085104,0.0,0.7199734479935513,94
oblomysh,50.8,93.6,1.8,0.5187910270540448,5
MagicHouse,50.8,83.4,0.0,0.6605237850319581,5
Torus Games,50.8,70.2,0.0,0.6664797839635953,5
Gogii Games,50.5,74.6875,0.0,0.6363345268378144,16
upjers,49.09090909090909,107.18181818181819,20.363636363636363,0.5073128988902004,11
EHTechnology,48.42857142857143,92.14285714285714,158.42857142857142,0.49033101002504553,7
André Bertaglia,48.375,112.375,139.75,0.5510595636693817,8
Corrosive Studios LLC,47.0,57.0,0.0,0.8560846802770856,5
Alawar Stargaze,46.857142857142854,53.857142857142854,0.0,0.9022764000705177,7
b-alive gmbh,46.46666666666667,77.33333333333333,0.0,0.6096178900623707,15
Rainbow Games,46.22222222222222,61.666666666666664,170.22222222222223,0.7334326849726996,9
橘喵喵,46.2,54.0,0.8,0.8157028388278388,5
