appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,review_score,success,log_success,log_reviews,log_playtime
979060,Bloons Adventure Time TD,2019-01-16,1,Ninja Kiwi,Ninja Kiwi,windows;mac,0,Single-player;Steam Achievements;In-App Purchases,Action;Strategy,Action;Strategy;Tower Defense,71,79,33,0,0,20000-50000,0.0,112,0.7053571428571429,79.0,4.382026634673881,4.727387818712341,0.0
979080,Rebel Forces,2018-12-20,1,FreezeNova,FreezeNova,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Stats;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Action;Indie,7,530,150,0,0,100000-200000,0.0,680,0.7794117647058824,530.0,6.274762021241939,6.523562306149512,0.0
979100,Experience: Colorblindness,2018-11-27,1,iNFINITE Production,iNFINITE Production,windows,0,Single-player,Simulation,Simulation;VR;VR Only,0,17,1,0,0,0-20000,0.0,18,0.9444444444444444,17.0,2.8903717578961645,2.9444389791664403,0.0
979170,CARDCORE,2018-11-26,1,Azorian;kron0s_alexey;Pavel_Balakin,Elina Faritovna Balakina,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements,Free to Play;Indie;Strategy,Free to Play;Strategy;Indie,45,19,19,0,0,0-20000,0.0,38,0.5,19.0,2.995732273553991,3.6635616461296463,0.0
979260,Gizmo,2018-12-05,1,Dane Winn;Alec Smith,Milo Games,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie,Indie;Action;3D Platformer,3,141,9,0,0,20000-50000,0.0,150,0.94,141.0,4.955827057601261,5.017279836814924,0.0
979680,In your Shadow,2018-12-03,1,Zohar Neiger,Zohar Neiger,windows,0,Single-player,Free to Play;Indie,Violent;Free to Play;Indie,0,3,3,0,0,0-20000,0.0,6,0.5,3.0,1.3862943611198906,1.9459101490553128,0.0
979760,PASKA BATTLE STYLE!,2018-12-17,1,Fabio Adamo,Fabio Adamo,windows,0,Single-player,Action;Adventure;Indie,Action;Indie;Adventure,0,2,1,0,0,0-20000,0.0,3,0.6666666666666666,2.0,1.0986122886681098,1.3862943611198906,0.0
980730,Underlight,2018-12-14,1,"KoiWare, LLC","KoiWare, LLC",windows,0,MMO,Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG,0,43,15,0,0,0-20000,0.0,58,0.7413793103448276,43.0,3.784189633918261,4.07753744390572,0.0
980850,Pixel Battle Royale,2019-01-31,1,FreezeNova,FreezeNova,windows,0,Multi-player;Online Multi-Player;Steam Achievements;Stats;Steam Leaderboards,Action;Free to Play;Indie,Free to Play;Action;Indie,11,164,137,0,0,50000-100000,0.0,301,0.5448504983388704,164.0,5.10594547390058,5.71042701737487,0.0
980950,Crome: Before Purgatory,2019-01-29,1,Stumphead Games,Stumphead Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards,Action,Action,9,13,1,0,0,0-20000,0.0,14,0.9285714285714286,13.0,2.6390573296152584,2.70805020110221,0.0
981290,CGENcore,2019-02-16,1,O L Y M P U S,O L Y M P U S,windows,0,Single-player,Casual;Free to Play;Indie;Simulation,Free to Play;Indie;Casual,0,21,18,0,0,0-20000,0.0,39,0.5384615384615384,21.0,3.091042453358316,3.688879454113936,0.0
981310,Ishmael,2018-12-10,1,Jordan Magnuson,Jordan Magnuson,windows,0,Single-player,Adventure;Casual;Free to Play;Indie;RPG;Simulation,Free to Play;Indie;Adventure,0,21,15,0,0,0-20000,0.0,36,0.5833333333333334,21.0,3.091042453358316,3.610917912644224,0.0
982010,ZDF History 360° – Tempelhof,2018-12-08,0,ZDF Digital Medienproduktion GmbH,Zweites Deutsches Fernsehen – Anstalt öffentlichen Rechts,windows,0,Single-player;Partial Controller Support,Adventure,Adventure;VR,0,3,7,0,0,0-20000,0.0,10,0.3,3.0,1.3862943611198906,2.3978952727983707,0.0
982380,Gods and Kings,2018-12-24,1,Xuanjin Studio,Xuanjin Studio,windows,0,Single-player;Steam Cloud,Free to Play;RPG;Strategy;Early Access,Early Access;Free to Play;RPG,3,18,10,0,0,0-20000,0.0,28,0.6428571428571429,18.0,2.9444389791664403,3.367295829986474,0.0
982710,Cop Academy,2019-03-22,1,Cursing Otter,Rubika Supinfogame,windows,0,Multi-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Stats,Free to Play;Indie,Free to Play;Indie;VR,18,4,3,0,0,0-20000,0.0,7,0.5714285714285714,4.0,1.6094379124341005,2.079441541679836,0.0
